Abort_rank3,Abortion_rank12,Adv_or_more,BA_or_more,Cig_tax12,Cig_tax12_3,Conserv_advantage,Conserv_public,Dem_advantage,Govt_worker,Gun_rank11,Gun_rank3,Gun_scale11,HR_cons_rank11,HR_conserv11,HR_lib_rank11,HR_liberal11,HS_or_more,Obama2012,Obama_win12,Pop2000,Pop2010,Pop2010_hun_thou,Popchng0010,PopchngPct,Pot_policy,ProChoice,ProLife,Relig_Cath,Relig_Prot,Relig_high,Relig_low,Religiosity3,Romney2012,Smokers12,StateID,TO_0812,Uninsured_pct,abort_rate05,abort_rate08,abortlaw10,abortlaw2017,abortlaw3,alcohol,attend_pct,ba_or_more_2015,battle04,biz_tax_rank,biz_tax_score,black_legis_2015,blackpct_2016,blkleg,blkpct04,blkpct08,blkpct10,bush00,bush04,carfatal,carfatal07,cig_tax,cig_tax_3,cigarettes,citizen_ideology,clinton16,clinton16_ev,college,conpct_m,cons_hr06,cons_hr09,cook_index,cook_index3,corrections_incarc_rate,corrections_total_rate,crime_rate_burglary,crime_rate_murder,crime_rate_property,crime_rate_violent,deathpen_executions,deathpen_exonerations,defexpen,demHR11,dem_hr09,demnat06,dempct_m,demstate06,demstate09,demstate13,demstate_2017,density,division,drug_death_rate,earmarks_pcap,evm,evo,evo2012,evr2012,gay_policy,gay_policy2,gay_policy_con,gay_support,gay_support3,gb_win00,gb_win04,gini_2016,gini_rank_2016,gore00,gun_check,gun_dealer,gun_murder10,gun_rank2015,gun_rank_rev,gunlaw_rank,gunlaw_rank3_rev,gunlaw_scale,gunlaw_scale2015,hispanic04,hispanic08,hispanic10,hispanic_legis_2015,hispanicpct_2016,hs_or_more_2015,hs_yrs_ss,indpct_m,infant_mortality,judge_selection,kerry04,legalclimate,legalclimate_rank,legis_prof_rank,legis_prof_score,lgbtq_equality_laws,libpct_m,mccain08,medicaid_expansion,min_wage,modpct_m,nader00,obama08,obama_win08,obesity_percent,opioid_rx_rate,over64,over64_2016,permit,polarization_house,polarization_senate,policy_innovation_rate,pop2016,pop_18_24,pop_18_24_10,pot_policy2017,prcapinc,preg_teen_rate,preg_uninten_rate,prochoice_percent,region,relig_import,relig_import_2016,religiosity,reppct_m,rtw,schools_avg_salary,schools_spend,schools_st_ratio,secularism,secularism3,seniority_sen2,south,state,state_govt_rank,suicide_rate,term_limits,to_0004,to_0408,trnout00,trnout04,trump16,trump16_ev,unemploy,unemploy2016,uninsured_pct_2015,union04,union07,union10,union_2016,urban,vep00_turnout,vep04_turnout,vep08_turnout,vep12_turnout,vep14_turnout,vep16_turnout,volunteer_hrs_pc,volunteer_rate,voter_id_law,whitepct_2016,womleg_2007,womleg_2010,womleg_2011,womleg_2017
3,37,7.4,25.1,1.36,2,20.2,40.1,4.3,14,25,2,7,227.8,46.53333333,201.8,53.46666667,90.5,51.99,1,2926324,3046355,30.46355,120031,4.1,1,56,41.00,22.6,58.1,41.3,31.6,2,46.18,22.00,"IA",0,11.8,10.6,11.3,6,7,2,2.31,40,26.8,1,40,4.51,3,3.4,2,2.3,2.7,3.7,48.22064774,49.9,14.5,15,1.36,2,8.01,44.6906,41.74,0,22.5,35.64516129,71,35.2,1,2,410,1490,464.4,1.9,2093.8,273.5,0,0,342,60,166.6666667,28.57142857,30.84464555,56,58.66666667,48.66666667,40,54.5,4,10.3,29.5,0,7,6,0,1,0,0,56,2,0,1,.439,6,48.53564596,4848.42,66.80114432,.7,21,32,17,3,16,-14.5,3.5,4.2,5,0,5.6,91.7,3,40.57315234,4.5,1,49.23,72.2,4,17,.241,4,19.03225806,44.39,1,7.25,45.32258065,2.232808311,53.93,1,32.1,64,14.7,16.04,34.2,,,.047619,31.3469,10.65407957,10.04596192,3,30560,39,39,43,2,35.06493506,54,-115,28.58220211,1,54416,12552,14.4,115,2,0,0,"Iowa",10,13.2,0,6.78,0,61.25,68.03,51.15,6,4.6,3.8,5,10.5,10.5,11.1,8.9,61.1,63.2,69.9,69.9,69.9,50.3,69,30.9,32.52,5,90.5,22.7,23.3,20.7,22.7
1,11,10.2,29.5,.79,1,21.6,41.7,-16.3,17.2,39,3,4,43,85.375,385,14.625,89.7,37.99,0,2688418,2853118,28.53118,164700,6.1,0,50,45.00,20.3,61.4,45.1,26,3,59.71,19.00,"KS",-5.7,14.6,18.4,19.2,8,13,2,1.99,48,31.7,0,22,5.21,5,5.9,4,5.9,6.2,7.1,58.04155498,62,20.7,15.9,.79,2,7.13,34.2966,36.05,0,28.7,38.70402802,70.75,71,-11.5,1,570,1280,545,3.1,2735.2,348.6,0,0,925,0,25,16.66666667,29.34872218,35.15151515,34.54545455,26.66666667,29.7,34.9,4,11.8,24,6,0,0,6,4,1,1,52,2,1,1,.46,21,37.2383228,7394.44,64.42074951,2.2,22,16,33,2,7,-12,8.1,9.1,10.5,3,11.6,90.3,3,29.76092333,6.4,1,36.62,67.6,19,31,.181,1,15.32399299,56.5,0,7.25,45.97197898,3.365546932,41.57,0,34.2,76.9,13,14.63,28.6,1.642,1.67,.042208,29.0729,10.89253188,10.09463722,4,30811,48,43,49,2,43.64820847,55,-51,40.89035449,1,47755,10913,14.3,51,1,0,0,"Kansas",48,16.1,0,2.32,.9,56.2,58.52,56.65,6,5.5,4.3,9.1,8.4,7,6.2,8.6,71.4,55.6,61.6,62.5,56.8,43.3,59.7,34.8,33.13,1,84.7,29.1,29.7,27.3,28.5
1,17,8.5,21,.6,1,20,40.9,1.5,17.5,47,3,2,197.3333333,55.27777778,231.6666667,44.72222222,81.7,37.8,0,4041769,4339367,43.39367,297598,7.4,1,42,51.00,13.8,67.4,45.4,24.6,3,60.49,29.00,"KY",-2.6,19.8,4.4,5.1,7,9,2,1.94,47,23.3,0,34,4.88,5,8,4,7.5,7.7,8.7,56.50170608,59.55,22.6,20,.3,1,18.95,41.2756,32.68,0,18.7,35.59210526,75.33333333,62.67,-10.4,1,760,2340,526.7,3.6,2246.9,211.6,3,1,1285,33.33333333,33.33333333,12.5,48.35566382,55.79710145,57.97101449,50,34.1,109.9,6,29.9,33,8,0,0,8,3,1,0,46,1,1,1,.478,36,41.37439313,,54.24754348,2.7,8,1,48,1,2,-22,1.9,2.4,3.1,1,3.3,85.1,3,21.61997564,6.7,4,39.69,59,39,36,.162,4,19.07894737,57.37,1,7.25,45.32894737,1.501890639,41.15,0,34.6,97.2,12.5,15.23,17.7,,,.039763,44.3697,9.896956626,9.518322194,3,27709,59,40,36,3,57.14285714,63,-33,30.02436054,0,52134,13149,17,33,1,0,1,"Kentucky",35,16.4,0,5.7,-.8,52.95,58.65,62.52,8,5.2,4.8,6,9.6,9.1,8.6,11.1,55.8,52.2,58.7,57.9,55.3,44.9,59.7,24.6,23.5,4,87.4,12.3,15.9,18.1,16.7
1,1,6.9,21.4,.36,1,30.4,44.1,-1.3,19.9,47,3,2,126.2857143,69.61904762,302.2857143,30.38095238,82.2,40.58,0,4468976,4533372,45.33372,64396,1.4,0,36,57.00,28.8,56.2,53.3,17.1,3,57.78,26.00,"LA",-1.7,24,11.7,16.1,9,11,3,2.63,53,23.2,0,41,4.39,22,32.2,22,33,32,32.8,52.55106317,56.72,21.4,24,.36,1,8.16,42.1649,38.45,0,21.3,40.57971014,77.57142857,79.14,-9.7,1,1050,2450,824.5,10.3,3458.8,514.7,28,11,802,14.28571429,14.28571429,33.33,46.43719807,60.41666667,51.38888889,41.66666667,37.5,104.9,7,19,29.1,9,0,0,8,3,1,0,51,1,1,1,.491,48,44.87533245,7197.51,45.72755115,7.7,4,1,48,1,2,-27,2.8,3.4,4.2,1,4.9,84.6,3,24.87922705,8.1,5,42.22,46.5,49,29,.187,11,16.2055336,58.56,1,0,43.21475626,1.159512385,39.93,0,36.2,98.1,11.7,13.99,15.5,.9,.737,.053297,46.8167,11.11847922,10.47871167,3,27581,66,57,39,3,64.93506494,71,-16,28.68357488,1,49745,12192,16,16,1,1,1,"Louisiana",46,14.7,1,3.64,1,54.99,58.63,58.09,8,6,6.2,11.9,7.6,5.6,5.8,4.2,72.6,56.4,61.1,62.1,60.4,44.9,60.6,20.7,18.43,3,62.4,17.4,16,16,15.3
2,31,9.6,26.9,2,3,11.3,32.6,8.2,14.4,25,2,7,337.5,20.41666667,91.5,79.58333333,90.2,56.27,1,1274923,1328361,13.28361,53438,4.2,4,63,33.00,22.3,46,24.4,49.1,1,40.98,20.00,"ME",-3.3,14.8,10.5,11.2,4,5,1,2.48,23,30.1,0,30,4.96,1,1.1,0,.7,1,1.6,43.97185099,44.58,16.6,14.7,2,3,7.3,74.1973,47.83,3,25.9,32.8407225,10,4,5.5,3,300,760,378.2,1.6,1986.4,127.8,0,0,1389,100,100,50,23.70030581,57.52688172,62.3655914,58.06451613,49.5,43.1,1,21.2,27.9,0,4,4,0,1,0,0,62,3,0,0,.452,12,49.08601647,6913.33,68.95715848,.8,48,28,21,2,12,70,.9,1.3,1.3,0,1.5,91.7,2,45.41284404,6.9,2,53.57,68,14,41,.154,13,23.80952381,40.38,0,9,43.34975369,5.695923856,57.71,1,30,66.9,14.4,18.85,42.9,1.835,1.7,.051771,13.3148,9.379727685,8.734939759,1,30566,34,37,74,1,,33,-177,30.88685015,0,50498,9488,12.1,177,3,0,0,"Maine",39,16,1,-.88,-2.4,67.76,66.88,44.87,1,4.7,4,8.4,11.3,11.7,11.7,11.4,40.2,67.2,73.8,71.4,68.1,58.7,72.8,36.9,31.58,5,94.6,30.6,29,29.6,33.9
3,43,16,35.7,2,3,5.2,31.8,23.1,25.5,7,1,45,297.125,31.10416667,130.125,68.89583333,88.2,61.97,1,5296486,5773552,57.73552,477066,9,0,65,29.00,22.6,52.2,36.7,31.1,2,35.9,19.00,"MD",-1.5,12.3,31.5,29,3,5,1,2.21,37,38.8,0,42,4.36,23,29.5,22,29.1,29.4,30.9,40.1779825,42.93,13.2,12,1,2,5.09,60.8008,60.33,10,34.5,28.47184987,25,16,8.5,3,490,1740,468.7,6.1,2507.5,446.1,5,1,2071,75,87.5,80,50.71604938,73.93617021,72.87234043,70.74468085,66,594.8,5,20.9,26.1,0,10,10,0,2,0,0,61,3,0,0,.452,12,56.56841835,2366.03,48.1159605,5.1,44,44,5,3,53,56,5.4,6.7,8.2,3,9.5,89.6,3,23.50617284,6.6,1,55.91,63.9,28,10,.278,23,22.25201072,36.47,1,9.25,49.27613941,2.654580643,61.92,1,28.9,58.7,11.4,14.1,48.1,1.959,1.839,.056637,60.1645,9.303571429,9.646692068,2,39247,55,60,64,3,30.6122449,54,-91,25.77777778,0,66456,15779,14.6,91,2,0,1,"Maryland",18,10.1,0,2.46,4.8,54.55,57.01,33.91,0,4.2,4.2,6.6,10.9,12.9,12.6,11,86.1,55.5,62.9,67.7,66.2,42,67.2,32.8,27.92,5,56.5,33,30.9,30.9,31.9
3,40,16.4,38.2,2.51,3,-2.2,27.4,20,15.8,3,1,65,372.4,14.48333333,53,85.51666667,89,60.65,1,6349097,6547629,65.47629,198532,3.1,4,68,28.00,43,27.4,26.5,46.5,1,37.51,17.00,"MA",.1,4.5,19.9,18.3,6,5,2,2.47,30,41.5,0,27,5.13,3,7.3,3,6.8,7,7.8,32.50119128,36.78,8.8,6.7,1.51,3,4.48,79.2993,60.01,11,35.9,22.75419546,7.6,.8,11.7,3,300,1270,370.1,2,1857.1,391.4,0,3,1154,100,100,100,33.62546125,88,89,83.5,78,839.4,1,25.7,14.4,0,12,11,0,1,0,0,68,3,0,0,.485,45,59.80379462,3214.19,54.69155323,1.8,11,46,3,3,54,-20,7.7,8.6,9.6,3,11.2,90.2,3,50.78413284,4.3,2,61.94,67.8,17,2,.431,8,27.64067127,35.99,1,11,49.60513327,6.421199682,61.8,1,24.3,47.1,13.3,15.37,47.4,1.126,,.04947,68.1178,9.345210189,10.35430666,1,41801,33,40,64,1,21.13636364,34,-171,15.5904059,0,76981,19148,13.2,171,3,0,0,"Massachusetts",16,8.6,0,3.73,2,60.44,64.17,32.81,0,5.1,2.9,2.8,13.5,13.2,16.6,12.1,91.4,59.9,64.2,66.2,66.3,44.7,68.3,27.5,24.81,5,79.1,24.5,26,24,25.5
2,18,9.4,24.6,2,3,12.4,34.6,12.3,12.7,11,1,25,207.0666667,51.62222222,220.7333333,48.37777778,87.9,54.09,1,9938444,9883640,98.8364,-54804,-.6,3,55,42.00,23,53.7,36.5,33.6,2,44.61,24.00,"MI",-4.2,15.4,19.4,18.4,8,10,2,2.22,38,27.8,1,12,5.64,9,13.9,14,14.3,14.2,15.2,46.14621473,47.81,13.8,12,2,3,7.6,53.5881,47.27,0,24.3,32.63280794,52.73333333,41.87,3.8,3,580,2520,445.9,5.4,2043.9,427.3,0,0,343,40,53.33333333,47.05882353,35.59466364,50.67567568,56.75675676,42.56756757,39.2,174.8,3,20.4,10,0,17,16,0,3,1,0,57,2,0,0,.467,27,51.27979887,4354.72,42.66646701,4.2,33,38,11,3,22,3,3.7,4.1,4.4,3,4.9,90.1,3,34.57280727,6.8,4,51.23,65.5,24,5,.401,7,20.4028021,40.89,1,8.9,46.96438996,1.988540582,57.33,1,31.2,84.9,12.3,15.83,34.1,1.912,2.219,.045328,99.283,9.850805256,9.854309996,2,31954,47,49,54,2,33.78099174,53,-107,29.83252909,0,62028,16086,17.5,107,2,0,0,"Michigan",22,13.6,1,6.78,2.3,59.39,66.17,47.5,16,7,4.9,6.1,21.6,19.5,18.8,14.4,74.7,59.9,66.6,68.9,64.7,43.2,65.7,27.9,26.64,3,78.6,19.6,25,20.9,23.6
2,28,10.3,31.5,1.6,2,10.2,36.2,11.3,12.6,17,2,14,216.5,49.72916667,210,50.27083333,91.5,52.65,1,4919479,5303925,53.03925,384446,7.8,2,56,39.00,25.8,50.3,38.2,33.6,2,44.96,17.00,"MN",-2.5,11.5,12.7,12.7,8,8,2,2.59,38,34.7,1,46,4.19,1,5.8,1,4.1,4.6,6.2,45.50235065,47.61,14.8,11.7,1.49,3,6.63,51.1385,46.44,10,30.6,29.08715833,55.375,40,2.3,2,300,2210,380.7,1.6,2297.5,229.1,0,0,419,50,62.5,50,35.31998046,64.17910448,66.16915423,55.72139303,44.8,66.6,4,10.6,14.1,0,10,10,0,2,0,0,58,2,0,0,.449,11,47.90557206,8314.45,50.81142739,1,37,26,23,2,11,12.5,3.5,4.1,4.7,2,5.1,92.8,3.5,37.61602345,5,4,51.09,68,13,25,.204,4,21.29963899,43.82,1,7.75,49.61320268,5.19525892,54.06,1,26.1,46.9,12.1,14.66,32,2.093,,.056444,55.1995,10.34482759,9.483408748,2,35861,31,36,52,2,34.26086957,49,-120,27.06399609,0,56913,13043,15.1,120,2,0,0,"Minnesota",24,12.6,0,6.92,-.2,69.26,76.18,44.92,0,4.8,3.8,4.5,17.5,16.3,15.1,14.2,70.9,69.5,78.4,78.2,75.7,50.6,74.8,36.4,35.43,5,84.1,34.8,34.8,31.8,32.3
1,15,7.1,19.6,.68,1,32.8,47.9,-5.1,19.1,39,3,4,137.25,65.45833333,291.25,34.54166667,80.4,43.79,0,2844658,2967297,29.67297,122639,4.3,0,39,53.00,6.3,80.3,58.4,11.2,3,55.29,26.00,"MS",-1.3,21.7,4.9,4.6,7,9,2,2.24,60,20.8,0,28,5.13,28,37.7,26,36.8,37.2,37.6,57.6195151,59.44,30.6,31.6,.18,1,9.35,46.6365,40.11,0,18.7,46.82926829,67.5,48,-9.5,1,940,2400,813.3,8.6,2921.2,278.5,21,4,1265,25,75,33.33333333,40.29038113,56.89655172,58.04597701,45.40229885,38.5,63.2,6,12.3,92.8,6,0,0,6,4,1,1,45,1,1,1,.476,34,40.69810015,7491.57,47.8887014,4,24,7,42,1,5,-9,1.7,2.2,2.7,0,2.9,83.5,3,23.59346642,8.9,4,39.72,56.3,43,37,.161,1,14.73170732,56.18,0,0,38.43902439,.8169513893,43,0,35.6,105.6,12.2,14.74,33.8,1.316,1.475,.026889,29.8873,11.0578569,10.27974385,3,24650,70,57,45,3,,60,-4,36.11615245,0,42744,8551,15.4,4,1,1,1,"Mississippi",45,13,0,2.93,5.3,48.21,51.14,57.94,6,6.2,5.7,12.7,4.8,6.7,4.8,6.6,48.8,49.1,55.7,61,59.7,29,55.6,27.1,22.22,1,58.8,13.8,14.4,14.9,14.9
1,8,9.5,25.2,.17,1,20.6,42.9,-3.6,12.4,39,3,4,192.4444444,55,234.6666667,45,86.8,44.38,0,5595211,5988927,59.88927,393716,7,1,45,48.00,16.1,62.2,42.1,28.4,2,53.76,26.00,"MO",-5.6,16.4,6.9,6.3,9,11,3,2.42,43,27.8,0,15,5.45,9,11.7,9,11.5,11.5,12.5,50.42281596,53.3,21.4,17.6,.17,1,9.68,44.9613,38.14,0,24.1,36.24413146,56.22222222,53.44,-3.1,2,710,1740,581.5,6.6,2906.5,442.9,88,4,1401,33.33333333,44.44444444,27.27,36.27537511,42.63959391,43.14720812,31.97969543,27.4,87.1,4,17.9,27,11,0,0,10,4,1,1,52,2,1,1,.463,24,47.08427335,8570.87,100.7359081,5.4,12,6,43,1,4,-19.5,2.6,3.2,3.5,1,4,88.9,4,37.59929391,6.3,1,46.1,56.6,42,16,.243,1,18.21596244,49.37,0,7.7,45.5399061,1.632066213,49.24,0,32.4,80.4,13.3,15.63,37.8,,2.056,.045,60.93,10.15517241,9.834696944,3,30608,51,46,36,2,36.61971831,77,-70,26.12533098,0,47957,11163,12.2,70,1,0,0,"Missouri",14,16.7,1,6.77,2.8,57.39,64.16,56.77,10,5.7,4.7,9.8,12.4,10.7,9.4,9.7,69.4,58.2,65.3,68.1,62.5,33.6,62.3,30.1,27.51,4,82.4,19.3,22.3,22.8,22.3
3,41,8.3,27.4,1.7,2,26.7,45.2,-13.4,16.5,47,3,2,197,56.5,233,43.5,90.8,41.66,0,902195,989415,9.89415,87220,9.7,3,53,42.00,20,53.3,34,36.9,1,55.3,20.00,"MT",-3.7,16.9,11.7,12.3,6,5,2,2.99,31,30.6,0,6,6.27,0,.5,0,.4,.7,.8,58.43789614,59.07,28,27.6,1.7,3,7.31,49.5711,35.75,0,25.7,37.55980861,83,92,-7.1,2,540,1410,351.2,3.6,2472.9,323.7,3,0,606,0,0,33.33333333,28.69757174,50,48.66666667,40,39.3,6.8,8,13.8,73.3,3,0,0,3,3,1,0,56,2,1,1,.462,22,33.3642338,13589.34,146.9555242,1.2,5,18,31,2,8,-25,2.4,3,2.9,1,3.6,93.5,2,39.73509934,5.6,4,38.57,60.5,34,45,.116,2,18.42105263,49.49,1,8.15,44.01913876,5.945785492,47.11,0,23.6,69.8,13.7,17.32,,2.282,1.961,.041254,10.4252,10.57692308,9.605662285,2,26857,47,42,56,4,,48,-126,31.56732892,0,51034,12100,14.2,126,2,1,0,"Montana",28,24.3,1,-.12,1.9,61.16,61.04,56.17,3,4.9,4,11.6,11.7,13.5,13.9,11.9,54.1,61.6,64.4,66.3,62.6,47.5,64.3,30.1,31.58,4,88.9,25.3,26,24,28.7
1,6,8.8,27.4,.64,1,25.7,41.7,-16.9,13.8,29,2,5,141.3333333,68.05555556,288.3333333,31.94444444,89.8,38.03,0,1711263,1826341,18.26341,115078,6.7,2,49,47.00,25.3,56.4,44.2,28.5,3,59.8,21.00,"NE",-2.5,15.9,8.9,8.1,8,9,2,2.35,47,30.2,0,25,5.14,4,4.8,2,4.3,4.5,5.4,62.24536203,65.9,19.5,15.7,.64,1,5.31,34.5457,33.7,0,25.3,38.10709838,86.33333333,92,-13.5,1,450,1170,422.5,2.9,2523.5,280.4,3,1,632,0,0,20,29.03225806,,,0,,23.8,4,6.9,15.4,4,1,0,5,4,1,1,50,1,1,1,.447,10,33.25303901,4701.20,60.88676759,1.8,31,23,26,2,10,-2.5,6.9,7.9,9.2,0,10.4,91,3,27.07373272,5.2,1,32.68,73,3,21,.23,7,16.43835616,56.53,0,9,45.45454545,3.52070747,41.6,0,31.4,62.8,13.3,14.7,30.4,,1.234,.045564,19.0712,10.8584423,10.02190581,4,31339,39,41,49,2,30,65,-71,43.89400922,1,51386,10800,12.9,71,1,1,0,"Nebraska",17,13.6,1,1.07,-.3,56.95,58.02,58.75,5,3.8,3.4,8.2,8.3,7.8,9.2,7.4,69.8,56.9,62.9,62.6,60.1,41.4,63.8,40.5,33.73,5,88.2,18.4,20.4,22.4,26.5
3,39,7.6,21.8,.8,1,15.6,35.7,-2,14.2,29,2,5,242.5,44.41666667,186.5,55.58333333,83.9,52.36,1,1998257,2700551,27.00551,702294,35.1,4,64,32.00,26.3,42.1,31.4,40.2,1,45.68,24.00,"NV",-1.5,23.3,27,25.9,6,6,2,3.3,30,23.6,1,5,6.46,10,8.5,11,7.5,8.1,9.4,49.52214395,50.47,17.8,16,.8,2,6.63,46.7309,47.92,6,19.5,32.58845438,61.33333333,32,1.3,2,650,1310,772.3,6,2625.4,635.6,12,1,611,50,66.66666667,40,32.68892794,58.73015873,63.49206349,60.31746032,58.7,24.6,8,20.4,55.8,0,5,6,0,2,0,0,60,2,1,1,.455,17,45.97566383,5419.75,47.73100008,3.1,29,26,23,2,11,-3,22.8,25.7,26.5,14,28.1,85.6,3,30.40421793,5.5,4,47.88,60.4,35,30,.182,22,18.80819367,42.65,1,8.25,48.60335196,2.46448922,55.15,1,26.7,80.7,11.2,14.6,,1.528,1.341,.046305,29.4006,8.695652174,9.218807849,1,33405,62,54,47,4,,53,-139,36.90685413,1,56943,8432,25.7,139,3,0,0,"Nevada",49,20.5,1,8.45,3.3,45.34,53.79,45.5,0,4.2,5.2,12.3,12.5,15.4,15.7,12.1,91.5,45.2,55.3,58.6,57.1,29.6,57.3,25.8,19.61,5,67.5,30.2,31.7,28.6,39.7
2,32,11.2,32,1.68,2,11,36.9,.4,13,27,2,6,132,66.83333333,297.5,33.16666667,91.3,51.98,1,1235786,1316470,13.1647,80684,6.5,1,67,29.00,32.8,33.8,23.4,49.8,1,46.4,17.00,"NH",-1.2,13.6,11.7,12.3,1,2,1,4.38,23,35.7,1,7,6.11,1,1.6,1,.9,1.2,1.7,48.07030985,48.88,9.8,10.3,1.08,2,14.18,50.6766,46.98,4,30.3,29.65517241,64,2,1.6,2,340,820,313.7,.9,1962.7,196.1,0,0,642,0,100,0,23.95833333,59.66981132,56.36792453,54.71698113,42.5,147,1,34.3,47.2,0,4,4,0,1,0,0,63,3,1,0,.435,3,46.80317916,9736.49,83.404863,.4,34,26,23,2,11,3,2.1,2.6,2.8,0,3.3,93.1,2.5,48.33333333,5,2,50.25,70.7,5,50,.048,8,24.13793103,44.52,1,0,46.20689655,3.900674948,54.13,1,26.3,64.3,12.1,16.41,45.7,1.615,1.729,.038835,13.3479,9.312977099,9.346504559,2,37040,26,32,50,1,25.61983471,54,-180,27.70833333,0,56616,16779,12.5,180,3,0,0,"NewHampshire",30,18.2,0,8.86,.4,62.74,71.6,46.61,0,3.7,2.7,6.3,9.9,9.7,10.8,9.4,59.3,63.9,70.9,71.3,70.1,48.3,72.5,34.6,28.55,4,93.6,35.8,37.5,24.5,29.5
3,46,12.9,34.5,2.7,3,5.5,29.6,13.1,16.5,2,1,72,277.9230769,36.52564103,148.8461538,63.47435897,87.4,58.25,1,8414350,8791894,87.91894,377544,4.5,3,63,31.00,42.3,33,34.7,34.6,1,40.5,18.00,"NJ",-4.3,15.2,34.3,31.3,5,4,1,2.35,36,37.6,0,50,3.41,14,13.4,13,14.5,14.5,14.8,40.29124386,46.24,9.1,8.2,2.58,3,4.89,59.6529,54.99,14,32.1,30.56027165,36.69230769,28.92,4.4,3,380,2040,354.8,3.9,1734.1,261.2,0,0,617,53.84615385,69.23076923,66.67,40.46052632,59.16666667,59.16666667,60,63.3,1195.5,2,16.3,15,0,15,14,0,2,0,0,64,3,0,0,.483,44,56.12560892,976.48,5.914539006,2.8,27,47,2,3,63,-7,14.9,16.3,17.7,9,19.7,89.1,3,30.09868421,4.4,2,52.92,59.3,38,20,.233,12,21.73174873,41.61,1,8.44,47.70797963,2.966655016,57.14,1,25.6,52.6,12.9,14.99,49.9,1.05,1.002,.072448,89.4447,8.534067447,8.723839854,2,41332,47,56,66,1,29.41176471,33,-131,29.44078947,0,69330,20322,11.9,131,3,0,0,"NewJersey",50,8.6,0,3.49,2.4,56.43,59.92,41,0,4.8,5,8.7,19.8,19.2,19.3,16.1,94.4,56.9,63.8,66.2,61.9,32.5,65.5,30.5,21.84,5,67.7,19.2,28.3,28.3,30.8
3,38,10.4,25.3,1.66,2,15.5,37.1,7,21.8,39,3,4,214,47.27777778,215,52.72222222,82.8,52.99,1,1819046,2059179,20.59179,240133,13.2,3,56,39.00,30.7,42.4,43.2,29.8,2,42.84,20.00,"NM",-5.6,20.1,15.7,15.5,3,4,1,2.42,34,26.5,1,35,4.85,1,2.3,2,2.4,3,2.8,47.8474119,49.84,22.8,19.2,.91,2,4.92,56.4009,48.26,5,23.8,26.09223301,54.33333333,10.67,2.4,2,720,1200,887.3,4.8,3542.3,597.4,1,4,1151,66.66666667,100,40,36.21027854,58.92857143,64.28571429,56.25,57.1,17,8,25.3,64.5,0,5,5,0,2,0,0,59,2,0,1,.48,39,47.90855405,6964.86,52.59377645,3.3,47,13,36,1,6,69,43.3,44.9,46.3,37,48,84.6,3.5,36.91643782,5.4,5,49.05,55.2,45,43,.14,11,24.39320388,41.78,1,7.5,49.51456311,3.550087286,56.91,1,28.8,65.1,12.1,15.85,39.6,2.108,1.818,.048976,20.8102,10.6846473,9.907722195,2,26191,72,56,61,4,35.06493506,55,-115,26.87328364,0,47163,11816,15.5,115,2,0,0,"NewMexico",43,21.7,0,6.41,1.3,48.24,54.65,40.04,0,5.6,6.7,10.9,6.7,7.7,6.7,6.3,75,48.5,59,60.3,54.7,35.4,55.2,34.2,23.62,5,73.4,30.4,30.4,26.8,30.4
3,48,14,32.4,4.35,3,4,29.3,22.1,17.6,4,1,62,308.7037037,63.29166667,119.1481481,104.4940476,84.7,63.33,1,18976457,19378102,193.78102,401645,2.1,2,66,27.00,37.3,32.5,31.5,38.5,1,35.19,19.00,"NY",-4.8,13,38.2,37.6,3,3,1,2.06,32,35,0,49,3.61,15,15.6,14,17.5,17.3,17.2,35.22976183,40.08,8.8,7.4,1.5,3,3.34,67.6557,59.01,29,29.8,28.66383293,28.06896552,8.72,10.2,3,380,1090,257.2,3.1,1718.2,381.8,0,0,328,71.42857143,93.10344828,70.97,41.29213483,64.62264151,66.50943396,63.84976526,65.3,411.2,2,13.6,12.8,0,31,29,0,2,0,0,66,3,0,0,.514,50,60.21251249,1747.43,20.41995651,2.7,14,43,6,3,51,-19,16,16.7,17.6,8,18.8,86,4,30.33707865,4.8,1,58.37,66.3,21,3,.43,23,26.42764738,36.03,1,9.7,44.90851968,3.577104013,62.88,1,25,42.7,13,14.97,49,1.322,1.566,.051813,197.453,9.478057647,10.2384147,2,38228,58,61,51,1,29.39271255,57,-151,28.37078652,0,79152,23384,12.7,151,3,0,0,"NewYork",23,8.4,0,.08,0,54.73,54.81,36.52,0,5.8,5.1,7.1,25.3,25.2,25.2,23.6,87.5,55.1,58,58,53.2,29,57.3,35.3,19.25,5,63.8,24.1,24.5,21.2,27.7
